Alice: Bob Charlie David Emma Frank
Bob: Alice Charlie Grace Henry Iris Jack
Charlie: Alice Bob David Karen Laura Mike
David: Alice Charlie Emma Nina Oscar Paul
Emma: Alice David Frank Quinn Rita Sam
Frank: Alice Emma Grace Tom Uma Victor
Grace: Bob Frank Henry William Xander Yara
Henry: Bob Grace Iris Zoe Adam Bella
Iris: Bob Henry Jack Clara Dylan Ella
Jack: Bob Iris Karen Finn George Hannah
Karen: Charlie Jack Laura Ian Julia Kevin
Laura: Charlie Karen Mike Liam Mia Noah
Mike: Charlie Laura Nina Olivia Peter Quinn
Nina: David Mike Oscar Rachel Steve Tina
Oscar: David Nina Paul Uma Violet Walter
Paul: David Oscar Quinn Yvonne Zack Aria
Quinn: Emma Mike Paul Rita Brandon Chloe
Rita: Emma Quinn Sam Derek Eva Felix
Sam: Emma Rita Tom Grace Hannah Ian
Tom: Frank Sam Uma Julia Kevin Liam
Uma: Frank Oscar Tom Victor Mia Noah
Victor: Frank Uma William Olivia Peter Rachel
William: Grace Victor Xander Steve Tina Yvonne
Xander: Grace William Yara Zack Aria Brandon
Yara: Grace Xander Zoe Chloe Derek Eva
Zoe: Henry Yara Adam Felix George Hannah
Adam: Henry Zoe Bella Ian Julia Kevin
Bella: Henry Adam Clara Liam Mia Noah
Clara: Iris Bella Dylan Olivia Peter Quinn
Dylan: Iris Clara Ella Rachel Steve Tina
Ella: Iris Dylan Finn Yvonne Zack Aria
Finn: Jack Ella George Brandon Chloe Derek
George: Jack Zoe Finn Hannah Eva Felix
Hannah: Jack Sam Zoe George Ian Julia
Ian: Karen Sam Adam Hannah Kevin Liam
Julia: Karen Tom Adam Ian Mia Noah
Kevin: Karen Tom Adam Ian Olivia Peter
Liam: Laura Tom Bella Ian Quinn Rachel
Mia: Laura Uma Bella Julia Steve Tina
Noah: Laura Uma Bella Julia Yvonne Zack
Olivia: Mike Victor Clara Kevin Aria Brandon
Peter: Mike Victor Clara Kevin Chloe Derek
Rachel: Nina Dylan Liam Olivia Eva Felix
Steve: Nina William Dylan Mia George Hannah
Tina: Nina William Dylan Mia Ian Julia
Yvonne: Paul William Ella Noah Kevin Liam
Zack: Paul Xander Ella Noah Mia Noah
Aria: Paul Xander Ella Olivia Quinn Rachel
Brandon: Quinn Xander Finn Olivia Steve Tina
Chloe: Quinn Yara Finn Peter Yvonne Zack
Derek: Rita Yara Finn Peter Aria Brandon
Eva: Rita Yara Rachel George Chloe Derek
Felix: Rita Zoe Rachel George Hannah Ian
